screen_id,screen_name,image_uuid_1,image_uuid_2,image_uuid_3,image_uuid_4
215e8905-17be-484c-8b88-1d979e9038eb,"ANDHERI D N NAGAR",,,,
7f1ddc11-014e-485b-82f9-8b15df3c881a,"Atithi Gardenia - Tavarekere",,,,
aad38f3f-b043-4bd5-b93b-d7ceb047bd45,"Ayodhya Sagar - Basaweshwara Nagar",,,,
b275c9e4-c938-49c9-84b9-a47c8ede4e01,"Ayodhya Upachar - Banashankari",,,,
b82790c6-59dc-45d8-ac14-483d43636194,"Bakasura Bandi - Sunkadakatte",,,,
90fb5d4b-53ab-4e05-a320-31b3e3d293f8,"Banashankari TTMC Screen",,,,
47d9d5f1-7453-4132-9f56-2c814f20bc4f,"Barista Aerocity, Mohali",,,,
2c093f43-d253-4638-bf06-947dcfdfc7d4,"Barista Amayra Kharar Road, Mohali",,,,
e4a0e351-d712-4553-ae05-ad852da39718,"Barista Barista - RC Millennium",,,,
066fe7fa-cce0-4fdb-a566-baed65e3a536,"Barista Barista Ambience",,,,
d2266fa7-7241-4d7b-8d95-299815df0a3a,"Barista Barista Band Stand",,,,
74c86df1-a802-4136-8960-8e8763458c5d,"Barista Barista Basant Lok",,,,
75565ac3-ace7-49d3-9490-ae916bd952f0,"Barista Barista Charmwood Plaza",,,,
022e5175-f9c7-4e05-b8a1-61ca787f9981,"Barista Barista Chembur",,,,
62e4365b-2818-4889-aaaa-8d16d495d101,"Barista Barista Club link Mind Space",,,,
6e519672-a891-4638-9dc7-1aec2fe2a22b,"Barista Barista Connaught Place",,,,
fba391d0-001f-4048-a204-112a438f5af9,"Barista Barista DLF Galleria",,,,
2d03ae8b-877a-4f44-9e64-fd525f332cdc,"Barista Barista DLF Qutub Plaza",,,,
867b2668-bb13-4f23-ab4a-aeb3320675aa,"Barista Barista Defence Colony",,,,
26cdc09a-4340-4689-b4b9-6d6fbd351065,"Barista Barista Diner, Sector 90",,,,
db3caca9-b701-4a2c-83ee-fdda75c77f3d,"Barista Barista East Patel Nagar, Delhi",,,,
b015790d-548f-41c5-8ff2-47b4f96dd29a,"Barista Barista Elan Epic Mall",,,,
fd22d57a-467c-48f8-8039-5c3ca3361e8b,"Barista Barista Elan Miracle Mall",,,,
aaad3f47-9023-42ab-ad1f-5c1efabff630,"Barista Barista Fr Gallery On MG",,,,
b9bf31d3-25e6-4986-993a-d6ebe416ce34,"Barista Barista Fr Ireo City Central, Gurgaon",,,,
9a2d6765-0462-48b7-ab18-77b188aee9c6,"Barista Barista Fr M3M Urbana",,,,
faf075cd-c852-4815-84a7-7e71b8899ea0,"Barista Barista Fr Paras Trinity",,,,
e8e22241-8e4c-4928-8417-910fa1790a52,"Barista Barista Fr Primus Hospital",,,,
99b4dff2-769c-4b3e-9ebf-64504ccc9c35,"Barista Barista Fr Sector 22 Gurgaon",,,,
9c401417-2d45-4e8b-b513-e39cdf8dd1b7,"Barista Barista Fr Sector 36D, Chandigarh",,,,
349291b3-ef62-4ff7-99ff-07def40e4711,"Barista Barista Fr World Street, Faridabad",,,,
c985320d-a484-44ec-8baa-0512de28001d,"Barista Barista Garodia Nagar Ghatkopar",,,,
d0c55a47-9489-4ffa-814d-e6384cf3d7e3,"Barista Barista Janatha Petrol Pump, Gurgaon",,,,
b7370d00-3648-4550-8e0c-9ed854c3a713,"Barista Barista M3M 65th Avenue",,,,
c9429118-4396-47e0-b014-9582a72b8068,"Barista Barista Noida Sector 18",,,,
307f10d3-4db9-4354-82da-58673a9b914b,"Barista Barista Rajiv Chowk",,,,
25087df5-fcb7-4b7d-a6a7-02591945d3d9,"Barista Barista SDA Colony",,,,
7285d677-4656-40d1-a00d-57bed059dfd7,"Barista Barista SHIMPOLI BORIVALI",,,,
c274047e-6070-4549-a400-11c5c1b1789e,"Barista Barista Shipra Mall",,,,
f894fa0c-06bc-48fb-a01d-79396c2bc3dd,"Barista Barista Shivaji Park",,,,
